frames,dup_pct,coverage,jitter,stability,clip,Δcoverage,Δjitter,Δstability,dup_diff
300,0.8361204013377926,0.9966666666666667,0.005609095259189696,0.06662456968893025,forward_20250506_162415_camera2.mp4,,,,
250,0.8353413654618473,0.996,0.006341975458617817,0.06691905002778198,forward_20250506_162415_camera2_25fps.mp4,-0.0006666666666667043,0.0007328801994281207,0.0002944803388517242,-0.0007790358759452998
200,0.7638190954773869,0.995,0.0076379925370835934,0.06669801766833637,forward_20250506_162415_camera2_20fps.mp4,-0.0016666666666667052,0.002028897277893897,7.344797940611603e-05,-0.07230130586040573
150,0.7046979865771812,0.9933333333333333,0.009313736255461615,0.06595909427363209,forward_20250506_162415_camera2_15fps.mp4,-0.0033333333333334103,0.0037046409962719186,-0.0006654754152981696,-0.13142241476061145
100,0.4444444444444444,0.99,0.012497715397184512,0.06557926719414593,forward_20250506_162415_camera2_10fps.mp4,-0.00666666666666671,0.006888620137994816,-0.0010453024947843226,-0.3916759568933482
50,0.20408163265306123,0.5,0.015416042814320019,0.06525771701418587,forward_20250506_162415_camera2_5fps.mp4,-0.4966666666666667,0.009806947555130324,-0.001366852674744387,-0.6320387686847314
